,IndexName,Date,Total Returns Index
0,NIFTY SMALLCAP 250,31 Dec 2010,3282.4
1,NIFTY SMALLCAP 250,30 Dec 2010,3244.02
2,NIFTY SMALLCAP 250,29 Dec 2010,3227.28
3,NIFTY SMALLCAP 250,28 Dec 2010,3207.27
4,NIFTY SMALLCAP 250,27 Dec 2010,3196.82
5,NIFTY SMALLCAP 250,24 Dec 2010,3189.45
6,NIFTY SMALLCAP 250,23 Dec 2010,3179.88
7,NIFTY SMALLCAP 250,22 Dec 2010,3177.36
8,NIFTY SMALLCAP 250,21 Dec 2010,3166.81
9,NIFTY SMALLCAP 250,20 Dec 2010,3144.49
10,NIFTY SMALLCAP 250,16 Dec 2010,3130.23
11,NIFTY SMALLCAP 250,15 Dec 2010,3109.97
12,NIFTY SMALLCAP 250,14 Dec 2010,3148.4
13,NIFTY SMALLCAP 250,13 Dec 2010,3093.41
14,NIFTY SMALLCAP 250,10 Dec 2010,3027.92
15,NIFTY SMALLCAP 250,09 Dec 2010,2954.71
16,NIFTY SMALLCAP 250,08 Dec 2010,3113.39
17,NIFTY SMALLCAP 250,07 Dec 2010,3203.59
18,NIFTY SMALLCAP 250,06 Dec 2010,3247.82
19,NIFTY SMALLCAP 250,03 Dec 2010,3264.73
20,NIFTY SMALLCAP 250,02 Dec 2010,3352.19
21,NIFTY SMALLCAP 250,01 Dec 2010,3303.98
22,NIFTY SMALLCAP 250,30 Nov 2010,3213.76
23,NIFTY SMALLCAP 250,29 Nov 2010,3164.28
24,NIFTY SMALLCAP 250,26 Nov 2010,3163.33
25,NIFTY SMALLCAP 250,25 Nov 2010,3298.3
26,NIFTY SMALLCAP 250,24 Nov 2010,3353.42
27,NIFTY SMALLCAP 250,23 Nov 2010,3387.01
28,NIFTY SMALLCAP 250,22 Nov 2010,3442.46
29,NIFTY SMALLCAP 250,19 Nov 2010,3394.66
30,NIFTY SMALLCAP 250,18 Nov 2010,3463.5
31,NIFTY SMALLCAP 250,16 Nov 2010,3481.92
32,NIFTY SMALLCAP 250,15 Nov 2010,3576.1
33,NIFTY SMALLCAP 250,12 Nov 2010,3586.77
34,NIFTY SMALLCAP 250,11 Nov 2010,3673.25
35,NIFTY SMALLCAP 250,10 Nov 2010,3699.21
36,NIFTY SMALLCAP 250,09 Nov 2010,3681.43
37,NIFTY SMALLCAP 250,08 Nov 2010,3665.95
38,NIFTY SMALLCAP 250,05 Nov 2010,3664.26
39,NIFTY SMALLCAP 250,04 Nov 2010,3626.41
40,NIFTY SMALLCAP 250,03 Nov 2010,3609.69
41,NIFTY SMALLCAP 250,02 Nov 2010,3585.21
42,NIFTY SMALLCAP 250,01 Nov 2010,3573.19
43,NIFTY SMALLCAP 250,29 Oct 2010,3528.35
44,NIFTY SMALLCAP 250,28 Oct 2010,3559.78
45,NIFTY SMALLCAP 250,27 Oct 2010,3578.37
46,NIFTY SMALLCAP 250,26 Oct 2010,3596.23
47,NIFTY SMALLCAP 250,25 Oct 2010,3598.39
48,NIFTY SMALLCAP 250,22 Oct 2010,3554.38
49,NIFTY SMALLCAP 250,21 Oct 2010,3540.91
50,NIFTY SMALLCAP 250,20 Oct 2010,3500.46
51,NIFTY SMALLCAP 250,19 Oct 2010,3512.69
52,NIFTY SMALLCAP 250,18 Oct 2010,3506.16
53,NIFTY SMALLCAP 250,15 Oct 2010,3524.88
54,NIFTY SMALLCAP 250,14 Oct 2010,3560.59
55,NIFTY SMALLCAP 250,13 Oct 2010,3577.23
56,NIFTY SMALLCAP 250,12 Oct 2010,3539.8
57,NIFTY SMALLCAP 250,11 Oct 2010,3552.08
58,NIFTY SMALLCAP 250,08 Oct 2010,3506.06
59,NIFTY SMALLCAP 250,07 Oct 2010,3517.08
60,NIFTY SMALLCAP 250,06 Oct 2010,3549.95
61,NIFTY SMALLCAP 250,05 Oct 2010,3507.35
62,NIFTY SMALLCAP 250,04 Oct 2010,3474.63
63,NIFTY SMALLCAP 250,01 Oct 2010,3458.99
64,NIFTY SMALLCAP 250,30 Sep 2010,3405.05
65,NIFTY SMALLCAP 250,29 Sep 2010,3403.94
66,NIFTY SMALLCAP 250,28 Sep 2010,3415.99
67,NIFTY SMALLCAP 250,27 Sep 2010,3418.14
68,NIFTY SMALLCAP 250,24 Sep 2010,3414.64
69,NIFTY SMALLCAP 250,23 Sep 2010,3372.68
70,NIFTY SMALLCAP 250,22 Sep 2010,3377.95
71,NIFTY SMALLCAP 250,21 Sep 2010,3386.43
72,NIFTY SMALLCAP 250,20 Sep 2010,3428.09
73,NIFTY SMALLCAP 250,17 Sep 2010,3414.14
74,NIFTY SMALLCAP 250,16 Sep 2010,3374.7
75,NIFTY SMALLCAP 250,15 Sep 2010,3397.88
76,NIFTY SMALLCAP 250,14 Sep 2010,3396.37
77,NIFTY SMALLCAP 250,13 Sep 2010,3417.11
78,NIFTY SMALLCAP 250,09 Sep 2010,3400.73
79,NIFTY SMALLCAP 250,08 Sep 2010,3385.63
80,NIFTY SMALLCAP 250,07 Sep 2010,3370.07
81,NIFTY SMALLCAP 250,06 Sep 2010,3352.28
82,NIFTY SMALLCAP 250,03 Sep 2010,3300.63
83,NIFTY SMALLCAP 250,02 Sep 2010,3263.99
84,NIFTY SMALLCAP 250,01 Sep 2010,3243.23
85,NIFTY SMALLCAP 250,31 Aug 2010,3182.54
86,NIFTY SMALLCAP 250,30 Aug 2010,3209.02
87,NIFTY SMALLCAP 250,27 Aug 2010,3214.05
88,NIFTY SMALLCAP 250,26 Aug 2010,3246.98
89,NIFTY SMALLCAP 250,25 Aug 2010,3241.71
90,NIFTY SMALLCAP 250,24 Aug 2010,3292.84
91,NIFTY SMALLCAP 250,23 Aug 2010,3308.74
92,NIFTY SMALLCAP 250,20 Aug 2010,3287.13
93,NIFTY SMALLCAP 250,19 Aug 2010,3284.2
94,NIFTY SMALLCAP 250,18 Aug 2010,3248.51
95,NIFTY SMALLCAP 250,17 Aug 2010,3222.36
96,NIFTY SMALLCAP 250,16 Aug 2010,3202.48
97,NIFTY SMALLCAP 250,13 Aug 2010,3202.38
98,NIFTY SMALLCAP 250,12 Aug 2010,3177.42
99,NIFTY SMALLCAP 250,11 Aug 2010,3178.73
100,NIFTY SMALLCAP 250,10 Aug 2010,3189.14
101,NIFTY SMALLCAP 250,09 Aug 2010,3197.21
102,NIFTY SMALLCAP 250,06 Aug 2010,3154.74
103,NIFTY SMALLCAP 250,05 Aug 2010,3146.31
104,NIFTY SMALLCAP 250,04 Aug 2010,3141.13
105,NIFTY SMALLCAP 250,03 Aug 2010,3130.64
106,NIFTY SMALLCAP 250,02 Aug 2010,3116.96
107,NIFTY SMALLCAP 250,30 Jul 2010,3090.54
108,NIFTY SMALLCAP 250,29 Jul 2010,3085.87
109,NIFTY SMALLCAP 250,28 Jul 2010,3080.26
110,NIFTY SMALLCAP 250,27 Jul 2010,3087.69
111,NIFTY SMALLCAP 250,26 Jul 2010,3088.36
112,NIFTY SMALLCAP 250,23 Jul 2010,3115.53
113,NIFTY SMALLCAP 250,22 Jul 2010,3128.19
114,NIFTY SMALLCAP 250,21 Jul 2010,3117.37
115,NIFTY SMALLCAP 250,20 Jul 2010,3104.95
116,NIFTY SMALLCAP 250,19 Jul 2010,3116.88
117,NIFTY SMALLCAP 250,16 Jul 2010,3117.11
118,NIFTY SMALLCAP 250,15 Jul 2010,3101.44
119,NIFTY SMALLCAP 250,14 Jul 2010,3095.05
120,NIFTY SMALLCAP 250,13 Jul 2010,3104.43
121,NIFTY SMALLCAP 250,12 Jul 2010,3085.52
122,NIFTY SMALLCAP 250,09 Jul 2010,3064.15
123,NIFTY SMALLCAP 250,08 Jul 2010,3046.94
124,NIFTY SMALLCAP 250,07 Jul 2010,3032.31
125,NIFTY SMALLCAP 250,06 Jul 2010,3037.08
126,NIFTY SMALLCAP 250,05 Jul 2010,3016.85
127,NIFTY SMALLCAP 250,02 Jul 2010,3008.1
128,NIFTY SMALLCAP 250,01 Jul 2010,2999.62
129,NIFTY SMALLCAP 250,30 Jun 2010,3004.17
130,NIFTY SMALLCAP 250,29 Jun 2010,2988.22
131,NIFTY SMALLCAP 250,28 Jun 2010,3006.18
132,NIFTY SMALLCAP 250,25 Jun 2010,2976.68
133,NIFTY SMALLCAP 250,24 Jun 2010,2991.33
134,NIFTY SMALLCAP 250,23 Jun 2010,2984.33
135,NIFTY SMALLCAP 250,22 Jun 2010,2953.11
136,NIFTY SMALLCAP 250,21 Jun 2010,2950.71
137,NIFTY SMALLCAP 250,18 Jun 2010,2916.19
138,NIFTY SMALLCAP 250,17 Jun 2010,2932.67
139,NIFTY SMALLCAP 250,16 Jun 2010,2921.51
140,NIFTY SMALLCAP 250,15 Jun 2010,2912.14
141,NIFTY SMALLCAP 250,14 Jun 2010,2883.67
142,NIFTY SMALLCAP 250,11 Jun 2010,2851.68
143,NIFTY SMALLCAP 250,10 Jun 2010,2835.97
144,NIFTY SMALLCAP 250,09 Jun 2010,2800.16
145,NIFTY SMALLCAP 250,08 Jun 2010,2795.25
146,NIFTY SMALLCAP 250,07 Jun 2010,2817.57
147,NIFTY SMALLCAP 250,04 Jun 2010,2854.43
148,NIFTY SMALLCAP 250,03 Jun 2010,2853.94
149,NIFTY SMALLCAP 250,02 Jun 2010,2825.64
150,NIFTY SMALLCAP 250,01 Jun 2010,2809.09
151,NIFTY SMALLCAP 250,31 May 2010,2836.16
152,NIFTY SMALLCAP 250,28 May 2010,2807.81
153,NIFTY SMALLCAP 250,27 May 2010,2769.9
154,NIFTY SMALLCAP 250,26 May 2010,2745.5
155,NIFTY SMALLCAP 250,25 May 2010,2704.06
156,NIFTY SMALLCAP 250,24 May 2010,2790.45
157,NIFTY SMALLCAP 250,21 May 2010,2784.7
158,NIFTY SMALLCAP 250,20 May 2010,2823.83
159,NIFTY SMALLCAP 250,19 May 2010,2828.81
160,NIFTY SMALLCAP 250,18 May 2010,2895.92
161,NIFTY SMALLCAP 250,17 May 2010,2883.54
162,NIFTY SMALLCAP 250,14 May 2010,2900.83
163,NIFTY SMALLCAP 250,13 May 2010,2937.09
164,NIFTY SMALLCAP 250,12 May 2010,2914.89
165,NIFTY SMALLCAP 250,11 May 2010,2913.76
166,NIFTY SMALLCAP 250,10 May 2010,2938.01
167,NIFTY SMALLCAP 250,07 May 2010,2870.85
168,NIFTY SMALLCAP 250,06 May 2010,2953.41
169,NIFTY SMALLCAP 250,05 May 2010,2953.96
170,NIFTY SMALLCAP 250,04 May 2010,2961.44
171,NIFTY SMALLCAP 250,03 May 2010,3006.12
172,NIFTY SMALLCAP 250,30 Apr 2010,3020.24
173,NIFTY SMALLCAP 250,29 Apr 2010,3003.3
174,NIFTY SMALLCAP 250,28 Apr 2010,2971.95
175,NIFTY SMALLCAP 250,27 Apr 2010,3028.04
176,NIFTY SMALLCAP 250,26 Apr 2010,3028.76
177,NIFTY SMALLCAP 250,23 Apr 2010,3018.24
178,NIFTY SMALLCAP 250,22 Apr 2010,3004.39
179,NIFTY SMALLCAP 250,21 Apr 2010,3005.67
180,NIFTY SMALLCAP 250,20 Apr 2010,2971.69
181,NIFTY SMALLCAP 250,19 Apr 2010,2930.44
182,NIFTY SMALLCAP 250,16 Apr 2010,2979.93
183,NIFTY SMALLCAP 250,15 Apr 2010,2989.14
184,NIFTY SMALLCAP 250,13 Apr 2010,2990.1
185,NIFTY SMALLCAP 250,12 Apr 2010,2997.59
186,NIFTY SMALLCAP 250,09 Apr 2010,2990.51
187,NIFTY SMALLCAP 250,08 Apr 2010,2959.16
188,NIFTY SMALLCAP 250,07 Apr 2010,2968.09
189,NIFTY SMALLCAP 250,06 Apr 2010,2950.82
190,NIFTY SMALLCAP 250,05 Apr 2010,2942.44
191,NIFTY SMALLCAP 250,01 Apr 2010,2904.77
192,NIFTY SMALLCAP 250,31 Mar 2010,2857.15
193,NIFTY SMALLCAP 250,30 Mar 2010,2839.57
194,NIFTY SMALLCAP 250,29 Mar 2010,2817.26
195,NIFTY SMALLCAP 250,26 Mar 2010,2824.34
196,NIFTY SMALLCAP 250,25 Mar 2010,2816.69
197,NIFTY SMALLCAP 250,23 Mar 2010,2815.11
198,NIFTY SMALLCAP 250,22 Mar 2010,2806.65
199,NIFTY SMALLCAP 250,19 Mar 2010,2829.99
200,NIFTY SMALLCAP 250,18 Mar 2010,2819.71
201,NIFTY SMALLCAP 250,17 Mar 2010,2816.14
202,NIFTY SMALLCAP 250,16 Mar 2010,2812.26
203,NIFTY SMALLCAP 250,15 Mar 2010,2781.36
204,NIFTY SMALLCAP 250,12 Mar 2010,2808.41
205,NIFTY SMALLCAP 250,11 Mar 2010,2812.13
206,NIFTY SMALLCAP 250,10 Mar 2010,2823.46
207,NIFTY SMALLCAP 250,09 Mar 2010,2827.73
208,NIFTY SMALLCAP 250,08 Mar 2010,2852.24
209,NIFTY SMALLCAP 250,05 Mar 2010,2827.45
210,NIFTY SMALLCAP 250,04 Mar 2010,2810.18
211,NIFTY SMALLCAP 250,03 Mar 2010,2791.35
212,NIFTY SMALLCAP 250,02 Mar 2010,2759.07
213,NIFTY SMALLCAP 250,26 Feb 2010,2702.12
214,NIFTY SMALLCAP 250,25 Feb 2010,2673.54
215,NIFTY SMALLCAP 250,24 Feb 2010,2681.11
216,NIFTY SMALLCAP 250,23 Feb 2010,2692.94
217,NIFTY SMALLCAP 250,22 Feb 2010,2717.07
218,NIFTY SMALLCAP 250,19 Feb 2010,2738.19
219,NIFTY SMALLCAP 250,18 Feb 2010,2777.85
220,NIFTY SMALLCAP 250,17 Feb 2010,2789.5
221,NIFTY SMALLCAP 250,16 Feb 2010,2768.48
222,NIFTY SMALLCAP 250,15 Feb 2010,2757.98
223,NIFTY SMALLCAP 250,11 Feb 2010,2773.29
224,NIFTY SMALLCAP 250,10 Feb 2010,2748.04
225,NIFTY SMALLCAP 250,09 Feb 2010,2751.86
226,NIFTY SMALLCAP 250,08 Feb 2010,2734.54
227,NIFTY SMALLCAP 250,06 Feb 2010,2744.66
228,NIFTY SMALLCAP 250,05 Feb 2010,2701.67
229,NIFTY SMALLCAP 250,04 Feb 2010,2782.45
230,NIFTY SMALLCAP 250,03 Feb 2010,2826.11
231,NIFTY SMALLCAP 250,02 Feb 2010,2788.66
232,NIFTY SMALLCAP 250,01 Feb 2010,2815.32
233,NIFTY SMALLCAP 250,29 Jan 2010,2772.52
234,NIFTY SMALLCAP 250,28 Jan 2010,2743.27
235,NIFTY SMALLCAP 250,27 Jan 2010,2742.84
236,NIFTY SMALLCAP 250,25 Jan 2010,2867.83
237,NIFTY SMALLCAP 250,22 Jan 2010,2896.99
238,NIFTY SMALLCAP 250,21 Jan 2010,2926.52
239,NIFTY SMALLCAP 250,20 Jan 2010,3000.35
240,NIFTY SMALLCAP 250,19 Jan 2010,2994.23
241,NIFTY SMALLCAP 250,18 Jan 2010,3006.89
242,NIFTY SMALLCAP 250,15 Jan 2010,2987.06
243,NIFTY SMALLCAP 250,14 Jan 2010,2969.39
244,NIFTY SMALLCAP 250,13 Jan 2010,2934.73
245,NIFTY SMALLCAP 250,12 Jan 2010,2914.95
246,NIFTY SMALLCAP 250,11 Jan 2010,2943.89
247,NIFTY SMALLCAP 250,08 Jan 2010,2900.44
248,NIFTY SMALLCAP 250,07 Jan 2010,2891.15
249,NIFTY SMALLCAP 250,06 Jan 2010,2875.74
250,NIFTY SMALLCAP 250,05 Jan 2010,2857.02
251,NIFTY SMALLCAP 250,04 Jan 2010,2832.33
0,NIFTY SMALLCAP 250,30 Dec 2011,2131.33
1,NIFTY SMALLCAP 250,29 Dec 2011,2127.02
2,NIFTY SMALLCAP 250,28 Dec 2011,2135.52
3,NIFTY SMALLCAP 250,27 Dec 2011,2162.5
4,NIFTY SMALLCAP 250,26 Dec 2011,2175.42
5,NIFTY SMALLCAP 250,23 Dec 2011,2154.67
6,NIFTY SMALLCAP 250,22 Dec 2011,2148.95
7,NIFTY SMALLCAP 250,21 Dec 2011,2138.98
8,NIFTY SMALLCAP 250,20 Dec 2011,2115.14
9,NIFTY SMALLCAP 250,19 Dec 2011,2153.97
10,NIFTY SMALLCAP 250,16 Dec 2011,2203.18
11,NIFTY SMALLCAP 250,15 Dec 2011,2249.2
12,NIFTY SMALLCAP 250,14 Dec 2011,2281.74
13,NIFTY SMALLCAP 250,13 Dec 2011,2304.72
14,NIFTY SMALLCAP 250,12 Dec 2011,2319.81
15,NIFTY SMALLCAP 250,09 Dec 2011,2363.89
16,NIFTY SMALLCAP 250,08 Dec 2011,2381.79
17,NIFTY SMALLCAP 250,07 Dec 2011,2428.44
18,NIFTY SMALLCAP 250,05 Dec 2011,2422.29
19,NIFTY SMALLCAP 250,02 Dec 2011,2418.94
20,NIFTY SMALLCAP 250,01 Dec 2011,2393.76
21,NIFTY SMALLCAP 250,30 Nov 2011,2374.71
22,NIFTY SMALLCAP 250,29 Nov 2011,2403.04
23,NIFTY SMALLCAP 250,28 Nov 2011,2416.34
24,NIFTY SMALLCAP 250,25 Nov 2011,2379.62
25,NIFTY SMALLCAP 250,24 Nov 2011,2365.32
26,NIFTY SMALLCAP 250,23 Nov 2011,2341.83
27,NIFTY SMALLCAP 250,22 Nov 2011,2389.87
28,NIFTY SMALLCAP 250,21 Nov 2011,2391.03
29,NIFTY SMALLCAP 250,18 Nov 2011,2435.28
30,NIFTY SMALLCAP 250,17 Nov 2011,2462.7
31,NIFTY SMALLCAP 250,16 Nov 2011,2493.45
32,NIFTY SMALLCAP 250,15 Nov 2011,2520.38
33,NIFTY SMALLCAP 250,14 Nov 2011,2593.56
34,NIFTY SMALLCAP 250,11 Nov 2011,2639.89
35,NIFTY SMALLCAP 250,09 Nov 2011,2681.59
36,NIFTY SMALLCAP 250,08 Nov 2011,2712.67
37,NIFTY SMALLCAP 250,04 Nov 2011,2708.99
38,NIFTY SMALLCAP 250,03 Nov 2011,2691.16
39,NIFTY SMALLCAP 250,02 Nov 2011,2696.28
40,NIFTY SMALLCAP 250,01 Nov 2011,2700.37
41,NIFTY SMALLCAP 250,31 Oct 2011,2713.57
42,NIFTY SMALLCAP 250,28 Oct 2011,2703.29
43,NIFTY SMALLCAP 250,26 Oct 2011,2666.47
44,NIFTY SMALLCAP 250,25 Oct 2011,2633.33
45,NIFTY SMALLCAP 250,24 Oct 2011,2631.42
46,NIFTY SMALLCAP 250,21 Oct 2011,2642.71
47,NIFTY SMALLCAP 250,20 Oct 2011,2653.95
48,NIFTY SMALLCAP 250,19 Oct 2011,2668.17
49,NIFTY SMALLCAP 250,18 Oct 2011,2639.05
50,NIFTY SMALLCAP 250,17 Oct 2011,2667.76
51,NIFTY SMALLCAP 250,14 Oct 2011,2660.84
52,NIFTY SMALLCAP 250,13 Oct 2011,2646.67
53,NIFTY SMALLCAP 250,12 Oct 2011,2646.3
54,NIFTY SMALLCAP 250,11 Oct 2011,2611.57
55,NIFTY SMALLCAP 250,10 Oct 2011,2602.85
56,NIFTY SMALLCAP 250,07 Oct 2011,2577.92
57,NIFTY SMALLCAP 250,05 Oct 2011,2538.46
58,NIFTY SMALLCAP 250,04 Oct 2011,2567.47
59,NIFTY SMALLCAP 250,03 Oct 2011,2596.07
60,NIFTY SMALLCAP 250,30 Sep 2011,2637.95
61,NIFTY SMALLCAP 250,29 Sep 2011,2648.61
62,NIFTY SMALLCAP 250,28 Sep 2011,2653.83
63,NIFTY SMALLCAP 250,27 Sep 2011,2679.44
64,NIFTY SMALLCAP 250,26 Sep 2011,2631.6
65,NIFTY SMALLCAP 250,23 Sep 2011,2668.48
66,NIFTY SMALLCAP 250,22 Sep 2011,2690.36
67,NIFTY SMALLCAP 250,21 Sep 2011,2774.3
68,NIFTY SMALLCAP 250,20 Sep 2011,2742.68
69,NIFTY SMALLCAP 250,19 Sep 2011,2708.8
70,NIFTY SMALLCAP 250,16 Sep 2011,2712.96
71,NIFTY SMALLCAP 250,15 Sep 2011,2709.43
72,NIFTY SMALLCAP 250,14 Sep 2011,2696.08
73,NIFTY SMALLCAP 250,13 Sep 2011,2681.39
74,NIFTY SMALLCAP 250,12 Sep 2011,2677.78
75,NIFTY SMALLCAP 250,09 Sep 2011,2725.11
76,NIFTY SMALLCAP 250,08 Sep 2011,2745.07
77,NIFTY SMALLCAP 250,07 Sep 2011,2731.39
78,NIFTY SMALLCAP 250,06 Sep 2011,2699.71
79,NIFTY SMALLCAP 250,05 Sep 2011,2674.65
80,NIFTY SMALLCAP 250,02 Sep 2011,2667.99
81,NIFTY SMALLCAP 250,30 Aug 2011,2649.43
82,NIFTY SMALLCAP 250,29 Aug 2011,2610.33
83,NIFTY SMALLCAP 250,26 Aug 2011,2549.47
84,NIFTY SMALLCAP 250,25 Aug 2011,2607.69
85,NIFTY SMALLCAP 250,24 Aug 2011,2626.03
86,NIFTY SMALLCAP 250,23 Aug 2011,2637.17
87,NIFTY SMALLCAP 250,22 Aug 2011,2606.69
88,NIFTY SMALLCAP 250,19 Aug 2011,2567.36
89,NIFTY SMALLCAP 250,18 Aug 2011,2608.57
90,NIFTY SMALLCAP 250,17 Aug 2011,2669.79
91,NIFTY SMALLCAP 250,16 Aug 2011,2697.14
92,NIFTY SMALLCAP 250,12 Aug 2011,2737.12
93,NIFTY SMALLCAP 250,11 Aug 2011,2744.51
94,NIFTY SMALLCAP 250,10 Aug 2011,2752.75
95,NIFTY SMALLCAP 250,09 Aug 2011,2686.73
96,NIFTY SMALLCAP 250,08 Aug 2011,2733.97
97,NIFTY SMALLCAP 250,05 Aug 2011,2796.27
98,NIFTY SMALLCAP 250,04 Aug 2011,2873.66
99,NIFTY SMALLCAP 250,03 Aug 2011,2891.87
100,NIFTY SMALLCAP 250,02 Aug 2011,2900.27
101,NIFTY SMALLCAP 250,01 Aug 2011,2943.47
102,NIFTY SMALLCAP 250,29 Jul 2011,2950.19
103,NIFTY SMALLCAP 250,28 Jul 2011,2965.09
104,NIFTY SMALLCAP 250,27 Jul 2011,2988.54
105,NIFTY SMALLCAP 250,26 Jul 2011,2982.07
106,NIFTY SMALLCAP 250,25 Jul 2011,3005.25
107,NIFTY SMALLCAP 250,22 Jul 2011,2994.24
108,NIFTY SMALLCAP 250,21 Jul 2011,2964.02
109,NIFTY SMALLCAP 250,20 Jul 2011,2974.67
110,NIFTY SMALLCAP 250,19 Jul 2011,2989.44
111,NIFTY SMALLCAP 250,18 Jul 2011,2969.5
112,NIFTY SMALLCAP 250,15 Jul 2011,2968.49
113,NIFTY SMALLCAP 250,14 Jul 2011,2964.56
114,NIFTY SMALLCAP 250,13 Jul 2011,2956.44
115,NIFTY SMALLCAP 250,12 Jul 2011,2919.93
116,NIFTY SMALLCAP 250,11 Jul 2011,2952.5
117,NIFTY SMALLCAP 250,08 Jul 2011,2962.9
118,NIFTY SMALLCAP 250,07 Jul 2011,2985.8
119,NIFTY SMALLCAP 250,06 Jul 2011,2953.75
120,NIFTY SMALLCAP 250,05 Jul 2011,2946.37
121,NIFTY SMALLCAP 250,04 Jul 2011,2938.64
122,NIFTY SMALLCAP 250,01 Jul 2011,2907.75
123,NIFTY SMALLCAP 250,30 Jun 2011,2894.77
124,NIFTY SMALLCAP 250,29 Jun 2011,2880.67
125,NIFTY SMALLCAP 250,28 Jun 2011,2849.31
126,NIFTY SMALLCAP 250,27 Jun 2011,2833.3
127,NIFTY SMALLCAP 250,24 Jun 2011,2810.28
128,NIFTY SMALLCAP 250,23 Jun 2011,2756.07
129,NIFTY SMALLCAP 250,22 Jun 2011,2755.57
130,NIFTY SMALLCAP 250,21 Jun 2011,2779.05
131,NIFTY SMALLCAP 250,20 Jun 2011,2788.78
132,NIFTY SMALLCAP 250,17 Jun 2011,2879.35
133,NIFTY SMALLCAP 250,16 Jun 2011,2905.31
134,NIFTY SMALLCAP 250,15 Jun 2011,2928.44
135,NIFTY SMALLCAP 250,14 Jun 2011,2945.35
136,NIFTY SMALLCAP 250,13 Jun 2011,2931.11
137,NIFTY SMALLCAP 250,10 Jun 2011,2926.5
138,NIFTY SMALLCAP 250,09 Jun 2011,2936.11
139,NIFTY SMALLCAP 250,08 Jun 2011,2939.08
140,NIFTY SMALLCAP 250,07 Jun 2011,2935.65
141,NIFTY SMALLCAP 250,06 Jun 2011,2917.35
142,NIFTY SMALLCAP 250,03 Jun 2011,2913.25
143,NIFTY SMALLCAP 250,02 Jun 2011,2921.26
144,NIFTY SMALLCAP 250,01 Jun 2011,2934.13
145,NIFTY SMALLCAP 250,31 May 2011,2917.76
146,NIFTY SMALLCAP 250,30 May 2011,2877.75
147,NIFTY SMALLCAP 250,27 May 2011,2856.68
148,NIFTY SMALLCAP 250,26 May 2011,2821.95
149,NIFTY SMALLCAP 250,25 May 2011,2816.92
150,NIFTY SMALLCAP 250,24 May 2011,2830.11
151,NIFTY SMALLCAP 250,23 May 2011,2829.8
152,NIFTY SMALLCAP 250,20 May 2011,2870.69
153,NIFTY SMALLCAP 250,19 May 2011,2851.37
154,NIFTY SMALLCAP 250,18 May 2011,2866.72
155,NIFTY SMALLCAP 250,17 May 2011,2886.36
156,NIFTY SMALLCAP 250,16 May 2011,2904.48
157,NIFTY SMALLCAP 250,13 May 2011,2931.39
158,NIFTY SMALLCAP 250,12 May 2011,2904.04
159,NIFTY SMALLCAP 250,11 May 2011,2933.67
160,NIFTY SMALLCAP 250,10 May 2011,2909.06
161,NIFTY SMALLCAP 250,09 May 2011,2904.43
162,NIFTY SMALLCAP 250,06 May 2011,2900.98
163,NIFTY SMALLCAP 250,05 May 2011,2877.04
164,NIFTY SMALLCAP 250,04 May 2011,2906.65
165,NIFTY SMALLCAP 250,03 May 2011,2921.36
166,NIFTY SMALLCAP 250,02 May 2011,2974.45
167,NIFTY SMALLCAP 250,29 Apr 2011,3015.31
168,NIFTY SMALLCAP 250,28 Apr 2011,3050.36
169,NIFTY SMALLCAP 250,27 Apr 2011,3066.86
170,NIFTY SMALLCAP 250,26 Apr 2011,3074.57
171,NIFTY SMALLCAP 250,25 Apr 2011,3066.2
172,NIFTY SMALLCAP 250,21 Apr 2011,3072.37
173,NIFTY SMALLCAP 250,20 Apr 2011,3071.76
174,NIFTY SMALLCAP 250,19 Apr 2011,3031.88
175,NIFTY SMALLCAP 250,18 Apr 2011,3025.29
176,NIFTY SMALLCAP 250,15 Apr 2011,3066.21
177,NIFTY SMALLCAP 250,13 Apr 2011,3075.16
178,NIFTY SMALLCAP 250,11 Apr 2011,3032.87
179,NIFTY SMALLCAP 250,08 Apr 2011,3053.78
180,NIFTY SMALLCAP 250,07 Apr 2011,3094.6
181,NIFTY SMALLCAP 250,06 Apr 2011,3067.91
182,NIFTY SMALLCAP 250,05 Apr 2011,3044.36
183,NIFTY SMALLCAP 250,04 Apr 2011,3009.14
184,NIFTY SMALLCAP 250,01 Apr 2011,2938.16
185,NIFTY SMALLCAP 250,31 Mar 2011,2883.17
186,NIFTY SMALLCAP 250,30 Mar 2011,2877.69
187,NIFTY SMALLCAP 250,29 Mar 2011,2830.71
188,NIFTY SMALLCAP 250,28 Mar 2011,2827.86
189,NIFTY SMALLCAP 250,25 Mar 2011,2822.69
190,NIFTY SMALLCAP 250,24 Mar 2011,2782.57
191,NIFTY SMALLCAP 250,23 Mar 2011,2759.81
192,NIFTY SMALLCAP 250,22 Mar 2011,2738.3
193,NIFTY SMALLCAP 250,21 Mar 2011,2721.05
194,NIFTY SMALLCAP 250,18 Mar 2011,2728.23
195,NIFTY SMALLCAP 250,17 Mar 2011,2747.34
196,NIFTY SMALLCAP 250,16 Mar 2011,2757.74
197,NIFTY SMALLCAP 250,15 Mar 2011,2718.56
198,NIFTY SMALLCAP 250,14 Mar 2011,2761.72
199,NIFTY SMALLCAP 250,11 Mar 2011,2751.87
200,NIFTY SMALLCAP 250,10 Mar 2011,2778.07
